data,id_ibge,cidade,gps,latitude,longitude,confirmado,suspeitos,obitos,populacao,recuperados
2020-05-18,2301604,ASSARE,"-6.8746791,-39.8741385",-6.8746791,-39.8741385,14,1,1,23417,1
2020-05-18,2301703,AURORA,"-6.9426019,-38.9693765",-6.9426019,-38.9693765,6,3,1,24654,2
2020-05-18,2301901,BARBALHA,"-7.3121067,-39.3036427",-7.312106699999999,-39.303642700000005,77,87,2,59732,31
2020-05-18,2302008,BARRO,"-7.1713587,-38.7742136",-7.1713587,-38.7742136,5,0,0,22680,3
2020-05-18,2302503,BREJO SANTO,"-7.4909841,-38.9859152",-7.4909841,-38.9859152,46,33,3,49477,12
2020-05-18,2302701,CAMPOS SALES,"-7.0742675,-40.3740367",-7.0742675,-40.374036700000005,41,4,0,27426,22
2020-05-18,2303204,CARIRIACU,"-7.0417053,-39.2835527",-7.0417053,-39.2835527,17,7,1,26965,9
2020-05-18,2304202,CRATO,"-7.2369112,-39.4149236",-7.236911200000001,-39.4149236,70,71,1,132123,28
2020-05-18,2304301,FARIAS BRITO,"-6.9272823,-39.5714222",-6.927282300000001,-39.5714222,52,33,3,19450,18
2020-05-18,2304806,GRANJEIRO,"-6.8889524,-39.2179315",-6.888952400000001,-39.2179315,0,1,0,4844,0
2020-05-18,2307106,JARDIM,"-7.5838966,-39.279713",-7.5838966,-39.279713,3,5,0,27174,1
2020-05-18,2307205,JATI,"-7.6894344,-39.006074",-7.6894344,-39.006074,4,2,0,8111,2
2020-05-18,2307304,JUAZEIRO DO NORTE,"-7.2153453,-39.3153336",-7.215345299999999,-39.3153336,262,153,11,274207,66
2020-05-18,2307502,LAVRAS DA MANGABEIRA,"-6.7519554,-38.9634019",-6.7519554,-38.963401899999994,24,6,1,31508,13
2020-05-18,2308104,MAURITI,"-7.3870095,-38.7737751",-7.3870095000000005,-38.7737751,54,11,7,47962,9
2020-05-18,2308302,MILAGRES,"-7.3106846,-38.9447146",-7.310684599999999,-38.9447146,24,7,1,27512,12
2020-05-18,2308401,MISSAO VELHA,"-7.248491,-39.1434843",-7.2484910000000005,-39.1434843,57,13,0,36442,13
2020-05-18,2309201,NOVA OLINDA,"-7.0934174,-39.6789815",-7.0934174,-39.6789815,8,6,0,15565,7
2020-05-18,2310605,PENAFORTE,"-7.8288372,-39.0751908",-7.828837200000001,-39.0751908,4,1,0,9077,0
2020-05-18,2311108,PORTEIRAS,"-7.5341572,-39.1153149",-7.5341572,-39.115314899999994,2,1,1,14996,1
2020-05-18,2311207,POTENGI,"-7.0915205,-40.0268241",-7.091520500000001,-40.026824100000006,10,1,0,11045,1
2020-05-18,2311959,SALITRE,"-7.285445,-40.457306",-7.285444999999999,-40.457306,4,1,1,16554,0
2020-05-18,2312106,SANTANA DO CARIRI,"-7.1861693,-39.7374262",-7.1861692999999995,-39.7374262,26,2,0,17700,11
2020-05-18,2313252,TARRAFAS,"-6.6819901,-39.7575709",-6.6819901,-39.7575709,2,3,0,8592,2
2020-05-18,2314003,VARZEA ALEGRE,"-6.7936089,-39.2989333",-6.793608900000001,-39.2989333,67,9,1,40721,13
2020-05-19,2300101,ABAIARA,"-7.3607808,-39.0487878",-7.360780800000001,-39.0487878,6,3,0,11737,1
2020-05-19,2300606,ALTANEIRA,"-6.9980933,-39.7385742",-6.998093300000001,-39.7385742,1,1,0,7586,0
2020-05-19,2300804,ANTONINA DO NORTE,"-6.7754187,-39.9879345",-6.7754187,-39.987934499999994,5,2,0,7353,2
2020-05-19,2301307,ARARIPE,"-7.212861,-40.1359222",-7.212861,-40.1359222,2,3,0,21600,2
2020-05-19,2301604,ASSARE,"-6.8746791,-39.8741385",-6.8746791,-39.8741385,14,1,1,23417,1
2020-05-19,2301703,AURORA,"-6.9426019,-38.9693765",-6.9426019,-38.9693765,6,3,1,24654,3
2020-05-19,2301901,BARBALHA,"-7.3121067,-39.3036427",-7.312106699999999,-39.303642700000005,79,91,2,59732,32
2020-05-19,2302008,BARRO,"-7.1713587,-38.7742136",-7.1713587,-38.7742136,5,0,0,22680,3
2020-05-19,2302503,BREJO SANTO,"-7.4909841,-38.9859152",-7.4909841,-38.9859152,49,35,3,49477,14
2020-05-19,2302701,CAMPOS SALES,"-7.0742675,-40.3740367",-7.0742675,-40.374036700000005,42,4,0,27426,27
2020-05-19,2303204,CARIRIACU,"-7.0417053,-39.2835527",-7.0417053,-39.2835527,17,8,1,26965,11
2020-05-19,2304202,CRATO,"-7.2369112,-39.4149236",-7.236911200000001,-39.4149236,71,74,1,132123,34
2020-05-19,2304301,FARIAS BRITO,"-6.9272823,-39.5714222",-6.927282300000001,-39.5714222,53,35,3,19450,24
2020-05-19,2304806,GRANJEIRO,"-6.8889524,-39.2179315",-6.888952400000001,-39.2179315,0,1,0,4844,0
2020-05-19,2307106,JARDIM,"-7.5838966,-39.279713",-7.5838966,-39.279713,3,5,0,27174,1
2020-05-19,2307205,JATI,"-7.6894344,-39.006074",-7.6894344,-39.006074,4,2,0,8111,2
2020-05-19,2307304,JUAZEIRO DO NORTE,"-7.2153453,-39.3153336",-7.215345299999999,-39.3153336,288,166,11,274207,77
2020-05-19,2307502,LAVRAS DA MANGABEIRA,"-6.7519554,-38.9634019",-6.7519554,-38.963401899999994,24,7,1,31508,13
2020-05-19,2308104,MAURITI,"-7.3870095,-38.7737751",-7.3870095000000005,-38.7737751,58,11,7,47962,13
2020-05-19,2308302,MILAGRES,"-7.3106846,-38.9447146",-7.310684599999999,-38.9447146,24,7,1,27512,13
2020-05-19,2308401,MISSAO VELHA,"-7.248491,-39.1434843",-7.2484910000000005,-39.1434843,59,14,0,36442,17
2020-05-19,2309201,NOVA OLINDA,"-7.0934174,-39.6789815",-7.0934174,-39.6789815,8,7,0,15565,7
2020-05-19,2310605,PENAFORTE,"-7.8288372,-39.0751908",-7.828837200000001,-39.0751908,4,1,0,9077,0
2020-05-19,2311108,PORTEIRAS,"-7.5341572,-39.1153149",-7.5341572,-39.115314899999994,2,1,1,14996,1
2020-05-19,2311207,POTENGI,"-7.0915205,-40.0268241",-7.091520500000001,-40.026824100000006,12,1,0,11045,1
